Name,Country,Implementation Date,Start Date,End Date,Organisation Name,Donors,Implementing Partners,Point of Contact,Overview of digital health implementation,Geographical scope,Health Focus Areas,Software,Health System Challenges,Health Information System Support,Government Investor,Licenses,Repository,Mobile Application,Wiki,Interoperability Standards,National Level Deployment,First Level Coverage,Second Level Coverage,Approved
HelloMAMA,Nigeria,01/10/2015,01/10/2015,03/08/2017,Maternal and Child Survival Program,"Johnson & Johnson,USAID","Jhpiego,Pathfinder,Praekelt","Steve Ollis, steve.ollis@mcsprogram.org","MAMA delivers vital health messages to pregnant women and new mothers through age- and stage-based mobile messaging that validates and complements the efforts of frontline health workers. The program is locally led, planned for scale, and complements the national health care system by aligning with health priorities, policies, and systems from the outset. MAMA aims to increase consistent antenatal care visits and facility deliveries, thereby reducing maternal and neonatal mortality rates.",Ebonyi and Cross River State,"Maternal health,Newborn and Child Health",Vumi,"1.4 Communication roadblocks,1.5 Lack of access to information or data,5.1 Low demand for services","D. Client communication system,E. Clinical terminology and classifications,U. Pharmacy Information System",yes,Proprietary,,,,,,"District: 3716250 [Clients: 37814, Health Workers: 144, Facilities: 70], District: Ebonyi [Clients: 50610, Health Workers: 175, Facilities: 72]",,no
Hoji Mobile Data Collection and Analysis Platform,Kenya,29/02/2016,29/02/2016,,Hoji Ltd,None (for-profit company),None,"Gitahi Ng'ang'a, gitahi@hoji.co.ke","Hoji is an easy to use mobile data collection and analysis platform for surveys, M&E and DQAs. It enables health professionals to easily develop and deploy digital data collection and analysis solutions at scale.

Field workers collect and submit data to an online web server in real-time. They may also collect data while offline. The server then runs detailed real-time analysis, enabling managers to make evidence-based decisions, optimize interventions and maximize impact.","We have currently implemented mobile data collection and analysis solutions in Kenya, Uganda, Tanzania, South Sudan Somalia and Zambia. We intend to scale across Africa by 2022.",Cross Cutting,Hoji,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System",no,Proprietary,https://bitbucket.org/idadi/,https://play.google.com/store/apps/details?id=ke.co.hoji.android&hl=en,https://www.hoji.co.ke/what-can-we-do-for-you/,JSON,"Clients: 35, Health Workers: 1000, Facilities: 5000",,,no
USAID funded  - CaTSS OpenMRS Electronic Medical Record System for 19  ART Clinics,Nigeria,09/11/2015,09/08/2015,09/11/2018,Management Sciences for Health,USAID,Management Sciences for Health,"Benjamin Akinmoyeje, bakinmoyeje@msh.org","OpenMRS is an emr system that allow hospitals and health facilities to manage all patient data. In addition, it can aggregate patient data and facility management data for monitoring and decision making. The application is installed on Linux OS • MySQL—relational database management system (RDBMS); • Apache Tomcat—servlet application; • Mozilla Firefox—web browser application, and; • Hibernate—object to relational mapping and persistence application.","Niger, Kebbi, Sokoto , Kwara , Zamfara",,OpenMRS,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.1 Poor patient experience,6.4 Delayed provision of care","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,M. Health finance and insurance system",yes,Non protective free and open source software (e.g. Apache),,,,HL7 v2,,"District: Kebbi [Clients: 3000, Health Workers: 30, Facilities: 3], District: Kwara [Clients: 5000, Health Workers: 19, Facilities: 3]",,no
mTrac,Uganda,30/09/2011,30/09/2011,31/12/2019,UNICEF,Department for International Development (DFID),"Ministry of Health,District Local Government,UNICEF,WHO","Sean Blaschke, sblaschke@unicef.org","mTrac is part of the MoH's national eHMIS system, integrated into DHIS2 and iHRIS. It allows submission of Weekly HMIS Surveillance Forms by SMS, alerts to predefined user groups based on notifiable events or data outliers, communications / surveys / polls initiated by government staff at the National and District level to all Health Workers, and health care consumers to report on their experiences as well as any service delivery issues (stock-outs of commodities, extortion, etc).","National - Used by the MoH, every District Health Office and every Health Facility (Government, PFP, PNFP and FBO) in Uganda. mTrac reached scale in 2013.",,RapidPro,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,3.1 Poor patient experience","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,H. Electronic Medical Record,M. Health finance and insurance system",yes,Non protective free and open source software (e.g. Apache),,,,,"Clients: 100000, Health Workers: 62000, Facilities: 4434",,,no
electronic Integrated Disease Surveillance and Response (eIDSR),Sierra Leone,31/01/2016,31/01/2016,,eHealth Africa,Centers for Disease Control (USA),"CDC,WHO,eHealth Africa,GIZ","Nelson Clemens, nelson.clemens@sl.ehealthafrica.org",The eIDSR project aims to improve the quality and timeliness of IDSR reporting. This is being achieved through implementation of DHIS2 at district level and the through provision of a tablet and a custom DHIS2 data entry app at facility level. The project also provides training and support to data entry clerks and health facility workers on use of the new technology.,National,,DHIS2,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System",yes,Non protective free and open source software (e.g. Apache),https://www.ehealthafrica.org/eidsr,,,,"Clients: 0, Health Workers: 2400, Facilities: 1250",,,no
UgandaEMR (OpenMRS),Uganda,31/12/2016,30/11/2015,05/11/2017,Makerere University,Centers for Disease Control (CDC),Monitoring & Evaluation Technical Support Program,"Jonathan Mpango, jmpango@musph.ac.ug",Health facility patient level electronic medical records system,500,,OpenMRS,"1.3 Lack of quality/reliable data,3.5 Insufficient continuity of care,5.4 Loss to follow-up","C. Client applications,G. Data interchange interoperability and accessibility,P. Identification registries and directories",yes,Public domain,www.emrportal.mets.or.ug,aijar.mets.or.ug:8080/ugandaemr,,"ADX - Aggregate Data Exchange,CIEL,DICOM,HL7 FHIR,HL7 v3,ICD-10,LOINC,RxNORM,SNOMED","Clients: 100000, Health Workers: 9963, Facilities: 600",,,no
Improving health worker adherence to IPTp provision guidelines through sending text messages,Uganda,31/05/2016,31/12/2014,30/03/2016,Malaria Consortium,UKAID,Malaria Consortium,"Christian Rassi, c.rassi@malariaconsortium.org",This pilot study explored the feasibility and acceptability of an mHealth intervention which involved complementing classroom training with sending educational text messages to health workers. Training and text messages were designed to improve health workers’ knowledge of and adherence to national guidelines for the provision of intermittent preventive treatment of malaria in pregnancy (IPTp). Evaluation of the pilot is complete and we are currently exploring options for scale-up.,"Moyo district, West Nile",,SMS,"3.2 Insufficient health worker competence,3.7 Poor adherence to guidelines","N. Health Management Information System,R. Laboratory and Diagnostic System",yes,Proprietary,,,,,,"District: Moyo [Clients: 0, Health Workers: 49, Facilities: 8]",,no
CHAMPS,Sierra Leone,28/02/2017,28/02/2017,29/03/2024,E HEALTH AFRICA,Bill and Melinda Gates Foundation (BMGF),"WORLD HOPE INTERNATIONAL,FOCUS 1000","DAYO SPENCER-WALTERS, dayo.spencer-walters@sl.ehealthafrica.org","We aim to ensure that all deaths are reported to the 117 system, both from the hospital and communities . This way, mortality surveillance will be improved and causes of deaths in under fives identified","BOMBALI SEBORA CHIEFDOM, BOMBALI DISTRICT",,SMS,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.3 Lack of quality/reliable data","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,C. Client applications",yes,,,,,,,"District: Bombali District [Clients: 0, Health Workers: 7, Facilities: 3]",,no
VaxTrac,Sierra Leone,29/06/2016,31/05/2016,30/06/2019,eHealth Africa Sierra Leone,Centers for Disease Control (USA),eHealth Africa,"Dayo Spencer-Walters, dayo.spencer-walters@sl.ehealthafrica.org",Electronic Vaccination Record and Tracking System,Western Area,,Commcare,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.2 Insufficient supply of services,3.5 Insufficient continuity of care,3.7 Poor adherence to guidelines,5.4 Loss to follow-up,6.3 Poor planning and coordination,6.4 Delayed provision of care","B. Civil Registration and Vital Statistics,C. Client applications,F. Community-based Information System,G. Data interchange interoperability and accessibility,I. Emergency response system,P. Identification registries and directories,R. Laboratory and Diagnostic System,X. SHR and health information repositories",yes,Proprietary,,,,,,"District: Western Area Urban [Clients: 140, Health Workers: 120, Facilities: 60]",,no
AVADAR: Auto-Visual AFP Detection and Reporting,Sierra Leone,19/03/2017,19/03/2017,30/08/2018,eHealth Africa,Bill and Melinda Gates Foundation (BMGF),"Bill and Melinda Gates Foundation (BMGF),World Health Organization (WHO),Novel-T,Ministry of Health and Sanitation (MoHS)","Faye Simmonds, faye.simmonds@sl.ehealthafrica.org","Auto Visual AFP Detection and Reporting (AVADAR) is an sms-based mobile technology innovation to improve completeness, timeliness, and availability of acute flaccid paralysis (AFP) reporting data. AVADAR addresses the above problem by “widening the net” of disease reporters, making data available in near-real time, sending automatic case alerts to disease surveillance officers (DSOs), and automatically aggregating and visualizing case alerts and investigations on a dashboard.","Within Sierra Leone we are operating in four districts: Western Area Rural, Western Area Urban, Tonkolili, and Kono. 

Globally, we are implementing AVADAR in Nigeria, Sierra Leone, Liberia, Chad, Cameroon, Niger, and the Democratic Republic of Congo.",,"ODK,SMS","1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.6 Insufficient utilization of data and information,5.2 Geographic inaccessibility","B. Civil Registration and Vital Statistics,C. Client applications,F. Community-based Information System,V. Public health and disease surveillance",yes,,,,,,,"District: Kono District [Clients: 100, Health Workers: 30, Facilities: 30], District: Tonkolili District [Clients: 100, Health Workers: 30, Facilities: 30], District: Western Area Rural [Clients: 100, Health Workers: 30, Facilities: 30], District: Western Area Urban [Clients: 100, Health Workers: 30, Facilities: 30]",,no
