Platform Name,Jurisdiction of Origin,Pillar,Lead Organization,Description,Partners,Open Source + Repo,Link
(Digital Infrastructure for Knowledge Sharing) DIKSHA,India,Benefits,"Ministry of Education, Government of India","A portal that serves as the Government of India's national digital infrastructure for teachers. It offers services to teachers through their career lifecycle, from accreditation and training to lesson plans, assessment modules, and retirement benefits. It is built using APIs and open standards to be adaptable to changing needs and circumstances.","National Council of Teacher Education, Ministry of Human Resource Development",N/A,https://diksha.gov.in
National Digital Health Portal,India,Benefits,"Ministry of Health and Family Welfare, Government of India","A web and mobile component of the National Health Stack for India's National Digital Health Ecosystem. These apps abide by open architecture and user-centric design principles to allow data exchange between government, research centers, health service and insurance providers, and citizens.",NITI Aayog,https://www.nhp.gov.in/,https://www.nhp.gov.in/
Michigan Bridges,"Michigan, United States",Benefits,Michigan Department of Health and Human Services,"Michigan Bridges is an online case management portals that provides citizens with a single interface for public benefit registration and management. Users can upload important documents through their smartphone to apply for healthcare, food assistance, childcare, cash assistance and state emergency relief.",N/A,No,https://newmibridges.michigan.gov/s/isd-landing-page?language=en_US
New Jersey Career Network,"New Jersey, USA",Benefits,State of New Jersey Office of Innovation,"An initiative developed in partnership with the New Jersey Department of Labor and Workforce Development and the John J. Heldrich Center for Workforce Development at Rutgers University to create 21st century in-person services and digital tools to enable job seekers to identify, prepare for, and obtain jobs. It is a key component of New Jersey's efforts to provide job support for residents affected by coronavirus-related layoffs.","John J. Heldrich Center for Workforce Development at Rutgers University, New America",https://github.com/newjersey/career-network,https://careers.gardenstate.tech
LIfeSG,Singapore,Benefits,Government Technology Agency of Singapore (GovTech),A unified app where citizens can access government services. It leverages SingPass (now NDI) to securely authenticate citizens.,N/A,No,https://www.life.gov.sg/
Open Smart Register Platform (OpenSRP),"
India, Pakistan and Bangladesh",Benefits - Health,"Consortium of funders, technology providers, health organizations, implementation partners and research institutions (https://smartregister.org/about/)","Open Smart Register Platform (OpenSRP)  connects frontline health workers with their constituencies and the health system at large. It supports the health worker in prioritizing point-of-care tasks, tracking service delivery and greatly simplifies reporting from the field. It can work completely offline to accommodate low bandwidth constraints.",N/A,https://github.com/OpenSRP,https://smartregister.org/features/
OpenMRS,Kenya,Benefits - Health,A global community of volunteers in over 40 countries.,"Open Medical Record System (OpenMRS) is an open source software project that aims at facilitating healthcare service delivery in developing countries. It originally began as a medical record system that could interoperate with various health data ecosystems, including personal health records, clinical findings, laboratory test results and socio-economic data.",N/A,https://github.com/openmrs,https://openmrs.org
LibreHealth EHR,N/A,Benefits - Health,Community-run,"The LibreHealth EHR application is a clinically-focused electronic health record (EHR) system designed to be both easy to use “out of the box” and also customizable for use in a variety of health care settings. It builds on the strength of the LibreHealth Toolkit, and adapts many of the proven user experiences built over many years with OpenEMR. It is designed to be a modern, easy-to-use experience for health care professionals in their daily work.","Regenstrief Institute, Partners in Health, and the Medical Research Council of South Africa, Software Freedom Conservatory",https://github.com/LibreHealthIO/lh-ehr,https://librehealth.io/projects/lh-ehr/
SORMAS,Nigeria,Benefits - Health,Helmholtz Centre for Infection Research,"An early warning and management system to fight the spread of infectious diseases. HZI modified the existing surveillance software SORMAS, so that a follow-up management for people infected by the coronavirus and those who had contact with infected people is possible. SORMAS integrates with open source health-monitoring system DHIS2.",Nigeria Centre for Disease Control,https://github.com/hzi-braunschweig/SORMAS-Project,https://sormas.helmholtz-hzi.de
OpenHIM,Rwanda,Benefits - Health,"An open community deriving from the initial work of the Rwandan Ministry of Health together with Jembi Health Systems, InSTEDD and the Regenstrief Institute","The Open Health Information Mediator (OpenHIM) is a middleware component designed to ease interoperability between disparate information systems. It provides secure communications and data governance as well as support for routing, orchestrating and translating requests as they flow between systems. In the OpenHIE context, these systems are Health Information Systems (HISs) such as a client registry, provider registry, facility registry, shared health record and terminology service.",N/A,http://openhim.org/docs/introduction/about,http://openhim.org/
Human Resource Information System (iHRIS),"Rwanda, Uganda",Benefits - Health,IntraHealth International,"iHRIS supplies health sector leaders with the information they need to track, manage, and plan the health workforce, assess HR problems, plan effective interventions, and evaluate those interventions. Both the software and a program of technical assistance are provided as well as expertise to ensure that the technology is transferred effectively and serves the ability of decision-makers to use data to lead and manage. ","USAID, CapacityPlus",https://www.ihris.org/ihris-43,https://www.ihris.org/
