id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
547,"Digital, Data, and Technology",Health,Platform Creation,Gender,, Oky,_oky,okyapp.info,https://github.com/alextyers/period-tracker-app-whitelabelled,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
46,State and Democracy (Good Governance),,Transition,,,@firma,firma,administracionelectronica.gob.es/ctt/clienteafirma,https://github.com/ctt-gob-es/clienteafirma,"Technology Transfer Center, Government of Spain",Digital Public Goods Alliance,,,
612,Social Development and Education,,Education and Youth,,,A11Y Project,a11y_project,www.a11yproject.com,https://github.com/a11yproject/a11yproject.com,The Accessibility,Digital Public Goods Alliance,,,
517,Social Development and Education,,Education and Youth,,,Aarogya Setu,aarogya_setu,www.aarogyasetu.gov.in,https://github.com/nic-delhi/AarogyaSetu_Android,The Government of Indias Ministry of Electronics and Information Technology,Digital Public Goods Alliance,,,
639,Social Development and Education,,Education and Youth,,,AccessMod,accessmod,www.accessmod.org,https://github.com/fxi/AccessMod_shiny,The World Health Organization; Health GeoLab Collaborative; University of Geneva/Institute for Environmental Sciences/EnviroSPACE Lab,Digital Public Goods Alliance,,,
114,Social Development and Education,,Education and Youth,,,Afinidata,afinidata,afinidata.com/en/home,https://github.com/afinidata2019/afinidata-content-manager,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
615,"Digital, Data, and Technology",Health,Data Collection,Infectious Diseases,,Africa COVID-19 Response Toolkit,africa_covid19_response_toolkit,ethiocovid19rt.com,https://github.com/africa-covid-19-response-toolkit/surveillance-forms,Africa COVID-19 Response Toolkit; Ethiopia COVID-19 Response Team,Digital Public Goods Alliance,,,
482,Social Development and Education,,Education and Youth,,,African Storybook,african_storybook,www.africanstorybook.org,,Saide,Digital Public Goods Alliance,,,
539,"Digital, Data, and Technology",,ICT Infrastructure,,,African Terrestrial Fibre Network Mapping Project,african_terrestrial_fibre_networ,afterfibre.nsrc.org,https://github.com/stevesong/nsrc-afterfibre/,Network Startup Resource Center (NSRC),Digital Public Goods Alliance,,,
48,Rural Development,,Agricultural Production and Use of Resources,,,AgroSense,agrosense,agrosense.eu,https://bitbucket.org/corizon/agrosense/src/default/,Corizon,Digital Public Goods Alliance,,,
371,State and Democracy (Good Governance),,Democracy and the rule of law,,,Aid Transparency Tracker,aid_transparency_tracker,www.publishwhatyoufund.org/projects/humanitarian-transparency,https://github.com/pwyf/aid-transparency-tracker,Publish What You Fund,Digital Public Goods Alliance,,,
98,"Digital, Data, and Technology",,Platform Creation,,,AIDA,aida,instedd.org/technologies/aida-chatbot-builder,github.com/instedd/aida,InSTEDD,DIAL OSC,,,
614,Rural Development,,Agricultural Production and Use of Resources,,,Akvo Flow,akvo_flow,akvo.org/flow-caddisfly-lumen,https://github.com/akvo/akvo-flow,Akvo Foundation,Digital Public Goods Alliance,,,
207,State and Democracy (Good Governance),,Freedom of speech and access to information,,,Alaveteli,alaveteli,alaveteli.org,https://github.com/mysociety/alaveteli,mySociety,Digital Public Goods Alliance,,,
587,"Digital, Data, and Technology",,Data Management and Policy,,,Aleph,aleph,docs.alephdata.org,https://github.com/alephdata/aleph,Organized Crime and Corruption Reporting Project,Digital Public Goods Alliance,,,
324,State and Democracy (Good Governance),,Freedom of speech and access to information,,,Alex,alex,,https://github.com/get-alex/alex,Alex,Digital Public Goods Alliance,Inadequate description,"Whether your own or someone elses writing, alex helps you find gender favoring, polarizing, race related, religion inconsiderate, or other unequal phrasing in text.",
187,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,All Ready,all_ready,www.htbox.org/projects/allready,https://github.com/HTBox/allReady,Humanitarian Toolbox,Digital Public Goods Alliance,,,
