ID,Parent Sector,Parent Sector (2),Parent Sector (3),Sub Sector (1),Sub Sector (2),Sub Sector (3),Sub Sector (4),Sector Source,Products,Products (2),Project Name,Slug,Organization,Origin,Notes,Comments
1,Health,,,Gender,Midwifery,,,,,,HelloMAMA,hellomama,Jhpiego; Pathfinder International; Praekelt.org,Digital Health Atlas,,
2,"Digital, Data, and Technology",,,Data Collection,,,,,,,Hoji Mobile Data Collection and Analysis Platform,hoji_mobile_data_collection_and,,Digital Health Atlas,,
3,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,OpenMRS,,USAID funded  - CaTSS OpenMRS Electronic Medical Record System for 19  ART Clinics,usaid_funded__catss_openmrs_elec,Management Sciences for Health,Digital Health Atlas,,
4,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,RapidPro,,mTrac,mtrac,United Nations Children�۪s Fund (UNICEF); Israels Ministry of Health; World Health Organization (WHO),Digital Health Atlas,,
5,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,CommCare,,Electronic Vaccination Record and Tracking System Implementation Project (VaxTrac),electronic_vaccination_record_an,World Health Organization (WHO),Digital Health Atlas,,
6,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,OpenMRS,,UgandaEMR (OpenMRS),ugandaemr_openmrs,World Health Organization (WHO),Digital Health Atlas,,
7,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,Improving health worker adherence to IPTp provision guidelines through sending text messages,improving_health_worker_adherenc,Malaria Consortium; PATH,Digital Health Atlas,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0203554,""""""
8,"Digital, Data, and Technology",Health,,Data Collection,Data Management,,,,,,CHAMPS,champs,Inter-American Development Bank (IADB),Digital Health Atlas,,
9,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,CommCare,,VaxTrac,vaxtrac,,Digital Health Atlas,,
10,"Digital, Data, and Technology",Health,,Data Collection,,,,,Open Data Kit,,AVADAR: Auto-Visual AFP Detection and Reporting,avadar_autovisual_afp_detection,Inter-American Development Bank (IADB); World Health Organization (WHO),Digital Health Atlas,,
11,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,117 Alerts System,117_alerts_system,Jhpiego,Digital Health Atlas,,Surveillance?
12,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,DHIS2,,electronic Integrated Disease Surveillance and Response (eIDSR),electronic_integrated_disease_su,World Health Organization (WHO); GIZ,Digital Health Atlas,,
13,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Saving Lives,saving_lives,,Digital Health Atlas,,
14,"Digital, Data, and Technology",,,Platform Creation,,,,,RapidPro,,RapidPro,rapidpro,United Nations Children�۪s Fund (UNICEF),Digital Health Atlas,,
